0, 2e-06, 2e-06, 1e-06, 1.66667e-06
10000, 0.127287, 0.11848, 0.122882, 0.122883
20000, 0.484616, 0.493091, 0.472205, 0.483304
30000, 1.0909, 1.07522, 1.0936, 1.08657
40000, 1.89517, 1.98328, 2.02345, 1.9673
50000, 3.15781, 3.10045, 3.04599, 3.10141
60000, 4.32696, 4.28235, 4.22163, 4.27698
70000, 5.78774, 5.7594, 5.76992, 5.77235
80000, 7.49282, 7.67299, 7.68072, 7.61551
90000, 9.41433, 9.47975, 9.50491, 9.46633
100000, 12.1351, 11.8442, 11.9284, 11.9692
