0.751891, 0.629381, 0.683849, 0.688374
0.901388, 0.813125, 0.872551, 0.862355
0.988543, 0.988019, 0.973787, 0.98345
1.12847, 1.18492, 1.20008, 1.17116
1.38506, 1.36192, 1.38369, 1.37689
1.35898, 1.319, 1.2894, 1.32246
1.69933, 1.67049, 1.69715, 1.68899
1.88386, 1.86502, 1.8696, 1.87283
2.26186, 2.3566, 2.2763, 2.29825
2.7365, 2.675, 2.67004, 2.69385
2.03886, 2.01433, 1.96481, 2.006
2.5435, 2.5972, 2.61593, 2.58554
2.91728, 2.93878, 2.87965, 2.9119
3.37828, 3.36188, 3.43781, 3.39266
3.99078, 4.01834, 3.94979, 3.9863
2.71571, 2.71856, 2.71306, 2.71578
3.41094, 3.51013, 3.59851, 3.50653
4.04304, 3.86566, 3.84561, 3.9181
4.53539, 4.44834, 4.52289, 4.50221
5.36063, 5.51501, 5.71301, 5.52955
