0.750334, 0.651873, 0.7011, 0.701102
0.812368, 0.834073, 0.808743, 0.818395
0.970659, 0.972596, 0.957704, 0.966986
1.1268, 1.09849, 1.10328, 1.10952
1.31599, 1.27367, 1.33589, 1.30852
1.34625, 1.27598, 1.30779, 1.31001
1.64475, 1.6466, 1.86731, 1.71955
2.18169, 2.23773, 2.2241, 2.21451
2.45076, 2.44574, 2.4343, 2.4436
2.81912, 2.8373, 2.80243, 2.81962
2.03416, 1.91994, 1.96568, 1.97326
2.50278, 2.51159, 2.50391, 2.50609
2.9993, 2.98249, 2.9154, 2.96573
3.72545, 3.6859, 3.81543, 3.74226
4.3037, 4.14398, 4.3355, 4.26106
2.93367, 2.94053, 2.62699, 2.83373
3.20506, 3.22662, 3.19174, 3.20781
3.80439, 3.86637, 3.75922, 3.80999
4.35378, 4.37181, 4.39514, 4.37357
4.95366, 5.18824, 5.41904, 5.18698
